	id	question	correctAnswer	answerA	answerB	answerC	answerD
885	885	Amylase is a chemical that decomposes starch into maltose and dextrin. Which best describes the role of amylase in the human body?	B	as an inhibitor of insulin production	as an enzyme that aids in digestion	as a catalyst for protein synthesis	as a receptor of fatty acid chains
886	886	Because water is able to exist in the liquid phase on Earth, water helps to moderate temperatures across the entire planet. Which statement best illustrates this link between water in the liquid phase and moderation of temperatures?	B	The movement of water creates heat.	Ocean currents circulate heat away from the equator.	Earth's internal heat is pushed outward through volcanic activity.	Land warms as ocean water makes direct contact with land.
887	887	Two chemicals are mixed together in a beaker that is sitting in an ice water bath. The ice in the water melts as the chemicals react for one minute. What type of reaction is taking place?	D	endothermic, in which energy is absorbed	endothermic, in which energy is released	exothermic, in which energy is absorbed	exothermic, in which energy is released
888	888	Sea-floor spreading occurs at divergent boundaries. Which statement best identifies the geologic process taking place at the point where sea-floor spreading occurs?	B	a trench is forming	new crust is forming	oceanic crust is subducting	a continental plate is subducting
889	889	A researcher examines a marine organism that is the size of an average human hand. Without more information, which statement about the organism is most likely accurate?	C	It is mobile.	It has organ systems.	It is made of many cells.	It makes its own food.
890	890	When telling the steps in a scientific investigation, they should be relayed in such a way that the audience__________.	B	gets a general idea as to what was done	can exactly replicate the procedure	knows exactly what was done, but does not know how much of each ingredient was used	knows just enough information to understand what the investigation was about
891	891	After a soccer game, Brittany sat under a fan because she was hot. Under the fan, she felt cooler than before. Which explains why Brittany felt cooler under the fan?	B	Air moving under the fan is cooler than air that is still.	The evaporation of sweat absorbs heat from the skin.	Water vapor from the fan condenses on the skin.	The fan speeds convection currents in the air.
892	892	The flatworm, Planaria, is able to divide into two distinct organisms with the same DNA.  This type of reproduction is an example of __________.	D	sexual reproduction	spawning	hermaphroditic reproduction	asexual reproduction
893	893	When reactants combine, the resulting products need to have __________ the reactants.	A	different properties than	the same properties as	many properties in common with	None of the above
894	894	Which process directly adds carbon into the atmosphere?	C	increasing plant populations	decreasing animal populations	burning fossil fuels	forming sedimentary rock
895	895	What advantage do sea stars gain from having radial symmetry?	D	They reproduce at a faster rate.	They digest food more efficiently.	They move quickly along the ground.	They sense predators and potential food from all directions.
896	896	The day before the class is going to do a lab experiment, their teacher reminds them not to wear open shoes to school the next day. Which rationale best explains their teacher's request?	B	to prevent spills of chemicals	to prevent injury to toes or feet	to keep them from getting tired feet	to keep them grounded in case of shock
